planNumber,provDiagnosis,speciality,organ,diseaseAction,treatmentPlan,administration,notes,productName,comp1,comp2,comp3,timing,dosage,additions,procedure,presentation
1,Fever,General Medicine,Lungs,Anti-inflammatory,Primary Treatment,Oral,Take after meals,Paracetamol 500mg,F1,BELLADONNA,,Morning,5 DROPS,,,DROPS
2,Fever,General Medicine,Lungs,Antipyretic,Secondary Treatment,Oral,Take with water,Ibuprofen 400mg,F2,BRYONIA,,Evening,10ML,,,SYRUP
3,Fever,General Medicine,Body,Rest,Supplementary,Topical,Apply locally,Cooling Gel,,,,As needed,50MG,LOT/SESAM OIL/,APL/LOCAL,LOTION
1,Cold,Respiratory,Nose,Decongestant,Primary Treatment,Nasal,Use twice daily,Nasal Spray,,,,Morning,2 SPRAY,,,SPRAY
2,Cold,Respiratory,Throat,Soothing,Secondary Treatment,Oral,Dissolve slowly,Throat Lozenges,,,,As needed,1 LOZENGE,,,TABLET
3,Cold,Respiratory,Chest,Expectorant,Supplementary,Oral,Take before bed,Cough Syrup,F1,IPECACUANHA,,Night,10ML,,,SYRUP
1,Headache,Neurology,Head,Analgesic,Primary Treatment,Oral,Take with food,Paracetamol 500mg,,,,Morning,500MG,,,TABLET
2,Headache,Neurology,Head,Muscle Relaxant,Secondary Treatment,Oral,Before sleep,Muscle Relaxer,F3,NUX VOMICA,,HS,5 DROPS,,,DROPS
1,Hypertension,Cardiology,Heart,Reduce BP,Primary Treatment,Oral,Daily morning,BP Medicine,,,,Morning,10MG,,,TABLET
2,Hypertension,Cardiology,Heart,Diuretic,Secondary Treatment,Oral,With breakfast,Water Pill,,,,Morning,5MG,,,CAPSULE
3,Hypertension,Cardiology,Body,Lifestyle,Supplementary,Oral,After dinner,Omega-3,,,,Evening,1000MG,,,CAPSULE
1,Diabetes,Endocrinology,Pancreas,Lower Sugar,Primary Treatment,Oral,Before meals,Metformin,,,,BM,500MG,,,TABLET
2,Diabetes,Endocrinology,Body,Insulin Support,Secondary Treatment,Subcutaneous,Evening dose,Insulin,,,,Evening,10 UNITS,,,INJECTION
